x,y,vx,vy,Paddle.y
1165, 285, -15, -15, 437
1150, 270, -15, -15, 437
1135, 255, -15, -15, 437
1120, 240, -15, -15, 437
1105, 225, -15, -15, 437
1090, 210, -15, -15, 437
1075, 195, -15, -15, 437
1060, 180, -15, -15, 437
1045, 165, -15, -15, 437
1030, 150, -15, -15, 437
1015, 135, -15, -15, 437
1000, 120, -15, -15, 437
985, 105, -15, -15, 437
970, 90, -15, -15, 437
955, 75, -15, -15, 416
940, 60, -15, -15, 401
925, 45, -15, -15, 389
925, 45, -15, 15, 360
910, 60, -15, 15, 333
895, 75, -15, 15, 323
880, 90, -15, 15, 320
865, 105, -15, 15, 320
850, 120, -15, 15, 320
835, 135, -15, 15, 311
820, 150, -15, 15, 299
805, 165, -15, 15, 298
790, 180, -15, 15, 298
775, 195, -15, 15, 299
760, 210, -15, 15, 309
745, 225, -15, 15, 315
730, 240, -15, 15, 318
715, 255, -15, 15, 321
700, 270, -15, 15, 322
685, 285, -15, 15, 322
670, 300, -15, 15, 322
655, 315, -15, 15, 322
640, 330, -15, 15, 322
625, 345, -15, 15, 322
610, 360, -15, 15, 320
595, 375, -15, 15, 320
580, 390, -15, 15, 320
565, 405, -15, 15, 320
550, 420, -15, 15, 320
535, 435, -15, 15, 320
520, 450, -15, 15, 320
505, 465, -15, 15, 317
490, 480, -15, 15, 317
475, 495, -15, 15, 317
460, 510, -15, 15, 317
445, 525, -15, 15, 321
430, 540, -15, 15, 321
415, 555, -15, 15, 321
415, 555, -15, -15, 321
400, 540, -15, -15, 321
385, 525, -15, -15, 321
370, 510, -15, -15, 321
355, 495, -15, -15, 321
340, 480, -15, -15, 321
325, 465, -15, -15, 321
310, 450, -15, -15, 335
295, 435, -15, -15, 344
280, 420, -15, -15, 346
265, 405, -15, -15, 346
250, 390, -15, -15, 339
235, 375, -15, -15, 328
220, 360, -15, -15, 317
205, 345, -15, -15, 308
190, 330, -15, -15, 296
175, 315, -15, -15, 260
160, 300, -15, -15, 241
145, 285, -15, -15, 229
130, 270, -15, -15, 223
115, 255, -15, -15, 213
100, 240, -15, -15, 199
85, 225, -15, -15, 182
70, 210, -15, -15, 169
55, 195, -15, -15, 160
40, 180, -15, -15, 156
40, 180, 15, -15, 152
55, 165, 15, -15, 145
70, 150, 15, -15, 138
85, 135, 15, -15, 134
100, 120, 15, -15, 124
115, 105, 15, -15, 116
130, 90, 15, -15, 112
145, 75, 15, -15, 112
160, 60, 15, -15, 111
175, 45, 15, -15, 111
175, 45, 15, 15, 111
190, 60, 15, 15, 111
205, 75, 15, 15, 111
220, 90, 15, 15, 111
235, 105, 15, 15, 111
250, 120, 15, 15, 113
265, 135, 15, 15, 124
280, 150, 15, 15, 133
295, 165, 15, 15, 142
310, 180, 15, 15, 152
325, 195, 15, 15, 164
340, 210, 15, 15, 178
355, 225, 15, 15, 191
370, 240, 15, 15, 205
385, 255, 15, 15, 222
400, 270, 15, 15, 253
415, 285, 15, 15, 272
430, 300, 15, 15, 284
445, 315, 15, 15, 294
460, 330, 15, 15, 307
475, 345, 15, 15, 320
490, 360, 15, 15, 329
505, 375, 15, 15, 338
520, 390, 15, 15, 345
535, 405, 15, 15, 353
550, 420, 15, 15, 360
565, 435, 15, 15, 361
580, 450, 15, 15, 361
595, 465, 15, 15, 360
610, 480, 15, 15, 355
625, 495, 15, 15, 347
640, 510, 15, 15, 338
655, 525, 15, 15, 327
670, 540, 15, 15, 309
685, 555, 15, 15, 295
685, 555, 15, -15, 278
700, 540, 15, -15, 255
715, 525, 15, -15, 244
730, 510, 15, -15, 236
745, 495, 15, -15, 228
760, 480, 15, -15, 227
775, 465, 15, -15, 227
790, 450, 15, -15, 227
805, 435, 15, -15, 227
820, 420, 15, -15, 227
835, 405, 15, -15, 227
850, 390, 15, -15, 227
865, 375, 15, -15, 219
880, 360, 15, -15, 209
895, 345, 15, -15, 195
910, 330, 15, -15, 178
925, 315, 15, -15, 164
940, 300, 15, -15, 154
955, 285, 15, -15, 148
970, 270, 15, -15, 148
985, 255, 15, -15, 148
1000, 240, 15, -15, 148
1015, 225, 15, -15, 148
1030, 210, 15, -15, 148
1045, 195, 15, -15, 148
1060, 180, 15, -15, 148
1075, 165, 15, -15, 148
1090, 150, 15, -15, 148
1105, 135, 15, -15, 148
1120, 120, 15, -15, 148
1135, 105, 15, -15, 148
1150, 90, 15, -15, 148
1165, 75, 15, -15, 148
1180, 60, 15, -15, 148
1195, 45, 15, -15, 148
1195, 45, 15, 15, 148
1210, 60, 15, 15, 148
1225, 75, 15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 148
1240, 90, -15, 15, 148
1240, 90, 15, 15, 144
1240, 90, -15, 15, 149
1240, 90, 15, 15, 149
1240, 90, -15, 15, 144
1240, 90, 15, 15, 133
1240, 90, -15, 15, 116
1240, 90, 15, 15, 104
1240, 90, -15, 15, 90
1240, 90, 15, 15, 83
1240, 90, -15, 15, 77
1240, 90, 15, 15, 76
1240, 90, -15, 15, 76
1240, 90, 15, 15, 72
1240, 90, -15, 15, 72
1240, 90, 15, 15, 72
1240, 90, -15, 15, 72
1240, 90, 15, 15, 72
1240, 90, -15, 15, 72
1240, 90, 15, 15, 72
1240, 90, -15, 15, 72
1240, 90, 15, 15, 72
1240, 90, -15, 15, 72
1240, 90, 15, 15, 72
1240, 90, -15, 15, 72
1240, 90, 15, 15, 99
1255, 105, 15, 15, 155
1270, 120, 15, 15, 202
1285, 135, 15, 15, 203
1285, 135, -15, 15, 175
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
1285, 135, 15, 15, 115
1285, 135, -15, 15, 115
